Date,Open,High,Low,Close,Adj Close,Volume
2021-12-31,55.500000,57.500000,55.500000,56.549999,54.578438,39300
2022-01-03,57.299999,57.660000,57.169998,57.660000,55.649742,49200
2022-01-04,57.970001,58.419998,57.970001,57.990002,55.968239,47100
2022-01-05,58.040001,58.189999,57.259998,57.259998,55.263683,56800
2022-01-06,57.000000,57.049999,56.340000,56.580002,54.607399,27000
2022-01-07,56.209999,57.090000,56.209999,56.950001,54.964493,37800
2022-01-10,57.290001,57.860001,57.090000,57.700001,55.688347,62600
2022-01-11,57.169998,58.160000,57.150002,58.160000,56.132305,40400
2022-01-12,57.799999,58.169998,57.610001,58.150002,56.122658,30500
2022-01-13,58.250000,58.919998,57.919998,58.029999,56.006840,48100
2022-01-14,58.810001,59.349998,58.630001,59.139999,57.078144,31900
2022-01-18,57.669998,57.880001,57.049999,57.330002,55.331245,45200
2022-01-19,56.740002,56.970001,56.389999,56.860001,54.877632,64900
2022-01-20,56.570000,57.270000,55.860001,56.209999,54.250294,41200
2022-01-21,56.320000,56.500000,56.049999,56.049999,54.095871,37500
2022-01-24,55.480000,56.169998,54.689999,55.990002,54.037964,52100
2022-01-25,55.160000,55.820000,54.790001,55.610001,53.671211,35400
2022-01-26,55.790001,55.900002,54.490002,54.759998,52.850845,48500
2022-01-27,54.860001,55.090000,54.450001,54.830002,52.918407,55800
2022-01-28,53.400002,53.689999,52.860001,53.689999,51.818153,176000
2022-01-31,52.919998,53.770000,52.889999,53.770000,51.895363,52600
2022-02-01,54.580002,54.580002,53.700001,54.130001,52.242817,70000
2022-02-02,54.799999,54.990002,54.509998,54.880001,52.966663,18400
2022-02-03,53.380001,53.740002,53.000000,53.430000,51.567215,54800
2022-02-04,52.849998,53.959999,52.689999,53.299999,51.441746,26800
2022-02-07,53.509998,53.790001,53.430000,53.570000,51.702339,46500
2022-02-08,53.549999,54.400002,53.549999,54.080002,52.194557,44900
2022-02-09,54.549999,54.549999,53.970001,54.090000,52.204205,26600
2022-02-10,53.500000,54.189999,53.439999,53.509998,51.644424,21900
2022-02-11,54.130001,54.150002,52.910000,53.060001,51.210117,39600
2022-02-14,53.029999,53.029999,52.299999,52.650002,50.814411,34100
2022-02-15,53.790001,54.639999,53.740002,54.369999,52.474445,39500
2022-02-16,54.880001,55.570000,54.639999,55.500000,53.565048,26200
2022-02-17,55.750000,56.099998,55.660000,55.830002,53.883545,42800
2022-02-18,55.840000,56.020000,55.540001,55.990002,54.037964,23200
2022-02-22,52.790001,53.209999,52.540001,52.889999,51.046036,29800
2022-02-23,53.619999,53.680000,52.759998,52.860001,51.017090,31500
2022-02-24,50.230000,50.849998,49.529999,50.849998,49.077164,85200
2022-02-25,52.849998,52.849998,51.730000,52.410000,50.582779,69300
2022-02-28,50.430000,50.810001,50.049999,50.360001,48.604248,51200
2022-03-01,49.520000,50.169998,48.669998,48.980000,47.272362,97100
2022-03-02,48.610001,49.169998,48.500000,48.770000,47.069679,90400
2022-03-03,48.000000,48.040001,47.299999,47.570000,45.911522,107200
2022-03-04,45.680000,45.980000,45.310001,45.779999,44.183926,65200
2022-03-07,44.320000,44.320000,42.590000,42.970001,41.471893,122500
2022-03-08,43.389999,45.169998,42.930000,43.759998,42.234348,173500
2022-03-09,46.340000,47.279999,46.070000,46.630001,45.004295,121700
2022-03-10,45.660000,46.189999,45.650002,46.049999,44.444511,84100
2022-03-11,46.330002,46.470001,45.189999,45.200001,43.624146,188800
2022-03-14,45.700001,45.919998,45.220001,45.360001,43.778572,72000
2022-03-15,45.959999,45.959999,45.279999,45.740002,44.145325,146800
2022-03-16,46.250000,47.439999,46.169998,46.980000,45.342087,76400
2022-03-17,46.930000,47.740002,46.810001,47.490002,45.834309,57100
2022-03-18,46.720001,48.330002,46.669998,48.230000,46.548508,58800
2022-03-21,47.330002,47.380001,46.520000,46.889999,45.255230,46500
2022-03-22,47.000000,47.099998,46.669998,47.000000,45.361393,77800
2022-03-23,46.709999,47.110001,46.470001,46.619999,44.994637,50500
2022-03-24,47.880001,48.480000,47.750000,48.259998,46.577457,34800
2022-03-25,48.590000,48.740002,47.959999,48.150002,46.471302,34300
2022-03-28,48.209999,48.389999,47.830002,48.230000,46.548508,74400
2022-03-29,50.459999,50.599998,49.049999,49.410000,47.687370,81600
2022-03-30,48.950001,49.299999,48.680000,48.680000,46.982819,141600
2022-03-31,48.060001,48.389999,47.830002,47.830002,46.162457,80900
2022-04-01,47.820000,47.820000,47.369999,47.650002,45.988728,28400
2022-04-04,46.820000,47.220001,46.680000,47.090000,45.448254,31100
2022-04-05,47.419998,47.500000,46.990002,47.340000,45.689537,44900
2022-04-06,46.849998,47.549999,46.849998,47.290001,45.641277,49600
2022-04-07,47.459999,47.689999,47.230000,47.630001,45.969429,33000
2022-04-08,48.070000,48.799999,47.919998,48.470001,46.780144,37100
2022-04-11,48.200001,48.299999,47.990002,48.110001,46.432693,35200
2022-04-12,47.830002,48.299999,47.580002,47.689999,46.027332,53300
2022-04-13,47.099998,48.060001,47.099998,47.750000,46.085243,37100
2022-04-14,48.470001,48.740002,48.389999,48.400002,46.712585,37500
2022-04-18,50.200001,50.200001,47.130001,48.209999,46.529205,48600
2022-04-19,48.000000,48.580002,47.919998,48.439999,46.751183,81600
2022-04-20,50.330002,51.040001,50.290001,50.689999,48.922745,35200
2022-04-21,51.840000,51.840000,50.610001,50.790001,49.019257,44500
2022-04-22,51.270000,51.549999,50.910000,51.349998,49.559731,73500
2022-04-25,50.680000,51.279999,50.369999,51.130001,49.877750,112100
2022-04-26,51.520000,51.660000,50.310001,50.830002,49.585102,98500
2022-04-27,49.689999,49.730000,49.040001,49.560001,48.346207,66000
2022-04-28,48.509998,49.459999,48.349998,49.419998,48.209633,109000
2022-04-29,49.389999,49.470001,48.730000,48.799999,47.604813,55900
2022-05-02,48.610001,48.810001,47.970001,48.450001,47.263390,77700
2022-05-03,48.869999,49.610001,48.630001,49.610001,48.394981,67300
2022-05-04,48.240002,49.790001,48.220001,49.790001,48.570572,31000
2022-05-05,48.860001,49.130001,48.490002,48.779999,47.585304,36200
2022-05-06,47.669998,48.220001,47.009998,47.910000,46.736610,93000
2022-05-09,47.549999,48.299999,47.270000,47.599998,46.434204,382300
2022-05-10,48.970001,49.060001,48.430000,49.060001,47.858448,190800
2022-05-11,49.139999,49.759998,48.320000,48.320000,47.136574,68200
2022-05-12,48.799999,48.959999,47.950001,48.410000,47.224369,47000
2022-05-13,48.910000,49.830002,48.910000,49.290001,48.082813,50800
2022-05-16,49.540001,50.279999,49.250000,49.820000,48.599834,58100
2022-05-17,49.650002,50.500000,49.439999,49.730000,48.512039,85400
2022-05-18,49.480000,49.540001,48.410000,48.410000,47.224369,79900
2022-05-19,47.369999,47.419998,46.889999,47.099998,45.946445,40900
2022-05-20,47.000000,47.490002,46.599998,47.270000,46.112289,49300
2022-05-23,47.730000,48.680000,47.730000,48.310001,47.126820,74100
2022-05-24,48.000000,48.290001,47.740002,48.279999,47.097549,33000
2022-05-25,48.590000,49.270000,48.560001,48.869999,47.673100,72600
2022-05-26,48.970001,49.360001,48.950001,49.340000,48.131588,40600
2022-05-27,49.630001,49.820000,49.490002,49.820000,48.599834,26400
2022-05-31,50.419998,50.599998,50.180000,50.439999,49.204647,65100
2022-06-01,50.119999,50.139999,47.619999,48.450001,47.263390,210000
2022-06-02,48.990002,49.639999,48.900002,49.630001,48.414486,86100
2022-06-03,49.740002,49.740002,49.080002,49.419998,48.209633,32100
2022-06-06,50.139999,50.299999,49.430000,49.509998,48.297424,36700
2022-06-07,49.290001,49.689999,49.259998,49.560001,48.346207,31000
2022-06-08,48.970001,49.250000,48.750000,48.750000,47.556038,29500
2022-06-09,48.560001,49.090000,48.180000,48.200001,47.019508,170400
2022-06-10,47.049999,48.189999,46.980000,48.000000,46.824406,262600
2022-06-13,47.689999,47.689999,47.060001,47.220001,46.063515,58700
2022-06-14,46.950001,46.950001,46.000000,46.330002,45.195313,62400
2022-06-15,47.509998,47.680000,46.779999,47.369999,46.209839,78500
2022-06-16,45.049999,46.270000,44.959999,45.950001,44.824615,51800
