datetime,crude_oil,anderson,natural_gas,constellation,usd,heineken
2021-12-31,75.20999908447266,38.57401657104492,3.7300000190734863,249.3505859375,95.66999816894533,56.549999
2022-01-03,76.08000183105469,39.10215759277344,3.815000057220459,251.18865966796875,96.23999786376952,57.66
2022-01-04,76.98999786376953,39.29148864746094,3.7170000076293945,252.9571685791016,96.29000091552734,57.990002
2022-01-05,77.8499984741211,38.92279052734375,3.881999969482422,251.72515869140625,96.19000244140624,57.259998
2022-01-06,79.45999908447266,39.06229782104492,3.812000036239624,243.21046447753903,96.25,56.580002
2022-01-07,78.9000015258789,39.36124038696289,3.9159998893737793,244.5914764404297,95.73999786376952,56.950001
2022-01-10,78.2300033569336,38.84306716918945,4.078999996185303,245.48570251464844,95.98999786376952,57.700001
2022-01-11,81.22000122070312,39.04236602783203,4.249000072479248,251.0594940185547,95.62000274658205,58.16
2022-01-12,82.63999938964844,39.25162887573242,4.85699987411499,246.51898193359372,95.0,58.150002
2022-01-13,82.12000274658203,39.34131240844727,4.269999980926514,245.43600463867188,94.79000091552734,58.029999
2022-01-14,83.81999969482422,39.14201354980469,4.26200008392334,247.0356292724609,95.16999816894533,59.139999
2022-01-18,85.43000030517578,38.394649505615234,4.2829999923706055,241.8691864013672,95.7300033569336,57.330002
2022-01-19,86.95999908447266,37.378231048583984,4.031000137329102,241.2432403564453,95.51000213623048,56.860001
2022-01-20,86.9000015258789,36.84012985229492,3.802000045776367,241.8294219970703,95.73999786376952,56.209999
2022-01-21,85.13999938964844,37.26861953735352,3.999000072479248,239.4548492431641,95.63999938964844,56.049999
2022-01-24,83.30999755859375,38.05584335327149,4.026999950408936,238.510986328125,95.91999816894533,55.990002
2022-01-25,85.5999984741211,37.6572494506836,4.052999973297119,234.94415283203125,95.9499969482422,55.610001
2022-01-26,87.3499984741211,37.6871452331543,4.276999950408936,232.8179626464844,96.48999786376952,54.759998
2022-01-27,86.61000061035156,37.76686477661133,6.264999866485596,233.255126953125,97.26000213623048,54.830002
2022-01-28,86.81999969482422,38.21527862548828,4.638999938964844,234.52687072753903,97.2699966430664,53.689999
2022-01-31,88.1500015258789,37.96615982055664,4.874000072479248,236.21588134765625,96.54000091552734,53.77
2022-02-01,88.19999694824219,37.9063720703125,4.750999927520752,234.13937377929688,96.38999938964844,54.130001
2022-02-02,88.26000213623047,37.76686477661133,5.500999927520752,238.8885498046875,95.94000244140624,54.880001
2022-02-03,90.2699966430664,37.059356689453125,4.888000011444092,236.3251800537109,95.37999725341795,53.43
2022-02-04,92.30999755859376,36.5810432434082,4.572000026702881,235.7985992431641,95.4800033569336,53.299999
2022-02-07,91.31999969482422,36.591007232666016,4.23199987411499,236.08673095703125,95.4000015258789,53.57
2022-02-08,89.36000061035156,38.24517822265625,4.248000144958496,238.1200714111328,95.63999938964844,54.080002
2022-02-09,89.66000366210938,37.89640426635742,4.008999824523926,239.92416381835935,95.48999786376952,54.09
2022-02-10,89.87999725341797,37.59745788574219,3.9590001106262207,236.5252990722656,95.5500030517578,53.509998
2022-02-11,93.0999984741211,38.36475372314453,3.940999984741211,235.16973876953125,96.08000183105467,53.060001
2022-02-14,95.45999908447266,38.64376831054688,4.195000171661377,233.0865631103516,96.37000274658205,52.650002
2022-02-15,92.06999969482422,39.8594856262207,4.306000232696533,218.833251953125,95.98999786376952,54.369999
2022-02-16,93.66000366210938,39.73991012573242,4.7170000076293945,220.18881225585935,95.6999969482422,55.5
2022-02-17,91.76000213623048,38.33486175537109,4.486000061035156,218.15545654296875,95.8000030517578,55.830002
2022-02-18,91.06999969482422,38.98257446289063,4.431000232696533,215.14532470703125,96.04000091552734,55.990002
2022-02-22,92.3499984741211,39.70004653930664,4.498000144958496,216.2317657470703,96.02999877929688,52.889999
2022-02-23,92.0999984741211,41.42396926879883,4.623000144958496,211.78631591796875,96.19000244140624,52.860001
2022-02-24,92.80999755859376,42.32080841064453,4.567999839782715,214.3080596923828,97.13999938964844,50.849998
2022-02-25,91.58999633789062,43.72585678100586,4.46999979019165,216.33143615722656,96.62000274658205,52.41
2022-02-28,95.72000122070312,45.43981170654297,4.401999950408936,214.9160614013672,96.70999908447266,50.360001
2022-03-01,103.41000366210938,44.40346908569336,4.572999954223633,212.95249938964844,97.41000366210938,48.98
2022-03-02,110.5999984741211,47.73173522949219,4.76200008392334,215.1154327392578,97.38999938964844,48.77
2022-03-03,107.66999816894533,48.06057357788086,4.7220001220703125,217.5773468017578,97.79000091552734,47.57
2022-03-04,115.68000030517578,48.11039733886719,5.015999794006348,216.9494171142578,98.6500015258789,45.779999
2022-03-07,119.4000015258789,46.41637420654297,4.833000183105469,212.28468322753903,99.29000091552734,42.970001
2022-03-08,123.6999969482422,43.99490737915039,4.526999950408936,213.93927001953125,99.05999755859376,43.759998
2022-03-09,108.6999969482422,43.64613723754883,4.526000022888184,214.01901245117188,97.97000122070312,46.630001
2022-03-10,106.0199966430664,43.78564453125,4.63100004196167,212.94253540039065,98.51000213623048,46.049999
2022-03-11,109.33000183105467,43.74578857421875,4.724999904632568,211.6966094970703,99.12000274658205,45.200001
2022-03-14,103.01000213623048,43.57638168334961,4.6579999923706055,218.9727935791016,99.05999755859376,45.360001
2022-03-15,96.44000244140624,42.639686584472656,4.567999839782715,221.4048309326172,99.06999969482422,45.740002
2022-03-16,95.04000091552734,43.46676635742188,4.748000144958496,221.6141357421875,98.37999725341795,46.98
2022-03-17,102.9800033569336,44.90171051025391,4.989999771118164,221.04600524902344,98.01000213623048,47.490002
