Date,AAPL,NVDA,INTC,QCOM,CL=F,NG=F,USD
2021-12-30,178.1999969482422,295.8599853515625,51.7400016784668,182.72999572753906,76.98999786376953,3.561000108718872,53.130001068115234
2021-12-31,177.57000732421875,294.1099853515625,51.5,182.8699951171875,75.20999908447266,3.7300000190734863,52.81999969482422
2022-01-03,182.00999450683594,301.2099914550781,53.209999084472656,186.2100067138672,76.08000183105469,3.815000057220459,54.880001068115234
2022-01-04,179.6999969482422,292.8999938964844,53.13999938964844,187.22999572753906,76.98999786376953,3.7170000076293945,53.72999954223633
2022-01-05,174.9199981689453,276.0400085449219,53.869998931884766,186.5,77.8499984741211,3.881999969482422,49.810001373291016
2022-01-06,172.0,281.7799987792969,54.0099983215332,185.9499969482422,79.45999908447266,3.812000036239624,50.599998474121094
2022-01-07,172.1699981689453,272.4700012207031,53.439998626708984,180.41000366210938,78.9000015258789,3.9159998893737793,47.540000915527344
2022-01-10,172.19000244140625,274.0,55.209999084472656,179.67999267578125,78.2300033569336,4.078999996185303,48.040000915527344
2022-01-11,175.0800018310547,278.1700134277344,55.90999984741211,185.39999389648438,81.22000122070312,4.249000072479248,49.630001068115234
2022-01-12,175.52999877929688,279.989990234375,55.7400016784668,186.4199981689453,82.63999938964844,4.85699987411499,50.2400016784668
2022-01-13,172.19000244140625,265.75,54.939998626708984,183.88999938964844,82.12000274658203,4.269999980926514,47.310001373291016
2022-01-14,173.07000732421875,269.4200134277344,55.70000076293945,188.69000244140625,83.81999969482422,4.26200008392334,49.2599983215332
2022-01-18,169.8000030517578,259.0299987792969,54.7599983215332,178.86000061035156,85.43000030517578,4.2829999923706055,45.15999984741211
2022-01-19,166.22999572753906,250.6699981689453,53.619998931884766,172.47000122070312,86.95999908447266,4.031000137329102,42.34000015258789
2022-01-20,164.50999450683594,241.5,52.040000915527344,166.5,86.9000015258789,3.802000045776367,39.43000030517578
2022-01-21,162.41000366210938,233.74000549316406,52.040000915527344,164.92999267578125,85.13999938964844,3.999000072479248,37.880001068115234
2022-01-24,161.6199951171875,233.72000122070312,51.939998626708984,170.07000732421875,83.30999755859375,4.0269999504089355,38.630001068115234
2022-01-25,159.77999877929688,223.24000549316406,51.0,165.4499969482422,85.5999984741211,4.052999973297119,35.91999816894531
2022-01-26,159.69000244140625,227.72000122070312,51.689998626708984,167.0,87.3499984741211,4.2769999504089355,37.08000183105469
2022-01-27,159.22000122070312,219.44000244140625,48.04999923706055,161.1999969482422,86.61000061035156,6.264999866485596,33.9900016784668
2022-01-28,170.3300018310547,228.39999389648438,47.72999954223633,166.80999755859375,86.81999969482422,4.638999938964844,35.630001068115234
2022-01-31,174.77999877929688,244.86000061035156,48.81999969482422,175.75999450683594,88.1500015258789,4.874000072479248,39.52000045776367
2022-02-01,174.61000061035156,246.3800048828125,48.95000076293945,177.1300048828125,88.19999694824219,4.750999927520752,40.25
2022-02-02,175.83999633789062,252.4199981689453,49.5099983215332,188.1999969482422,88.26000213623047,5.500999927520752,42.439998626708984
2022-02-03,172.89999389648438,239.47999572753906,48.279998779296875,179.10000610351562,90.2699966430664,4.888000011444092,38.689998626708984
2022-02-04,172.38999938964844,243.19000244140625,48.0099983215332,179.47000122070312,92.30999755859375,4.572000026702881,39.16999816894531
2022-02-07,171.66000366210938,247.27999877929688,48.18000030517578,175.08999633789062,91.31999969482422,4.23199987411499,39.290000915527344
2022-02-08,174.8300018310547,251.0800018310547,48.810001373291016,178.58999633789062,89.36000061035156,4.248000144958496,41.04999923706055
2022-02-09,176.27999877929688,267.04998779296875,49.90999984741211,183.9499969482422,89.66000366210938,4.008999824523926,44.29999923706055
2022-02-10,172.1199951171875,258.239990234375,48.86000061035156,174.07000732421875,89.87999725341797,3.9590001106262207,41.439998626708984
2022-02-11,168.63999938964844,239.49000549316406,47.630001068115234,164.63999938964844,93.0999984741211,3.940999984741211,36.900001525878906
2022-02-14,168.8800048828125,242.6699981689453,47.58000183105469,165.1300048828125,95.45999908447266,4.195000171661377,37.22999954223633
2022-02-15,172.7899932861328,264.95001220703125,48.439998626708984,173.0,92.06999969482422,4.306000232696533,41.689998626708984
2022-02-16,172.5500030517578,265.1099853515625,48.22999954223633,172.60000610351562,93.66000366210938,4.7170000076293945,41.650001525878906
2022-02-17,168.8800048828125,245.07000732421875,47.56999969482422,166.8000030517578,91.76000213623047,4.486000061035156,37.97999954223633
2022-02-18,167.3000030517578,236.4199981689453,45.040000915527344,167.63999938964844,91.06999969482422,4.431000232696533,36.70000076293945
2022-02-22,164.32000732421875,233.89999389648438,44.689998626708984,165.88999938964844,92.3499984741211,4.498000144958496,36.150001525878906
2022-02-23,160.07000732421875,223.8699951171875,44.650001525878906,161.6199951171875,92.0999984741211,4.623000144958496,34.150001525878906
2022-02-24,162.74000549316406,237.47999572753906,46.720001220703125,167.97999572753906,92.80999755859375,4.567999839782715,37.2599983215332
2022-02-25,164.85000610351562,241.57000732421875,47.709999084472656,170.92999267578125,91.58999633789062,4.46999979019165,38.529998779296875
2022-02-28,165.1199951171875,243.85000610351562,47.70000076293945,171.99000549316406,95.72000122070312,4.4019999504089355,38.56999969482422
2022-03-01,163.1999969482422,234.77000427246094,46.81999969482422,163.69000244140625,103.41000366210938,4.572999954223633,35.83000183105469
2022-03-02,166.55999755859375,242.1999969482422,48.869998931884766,169.25,110.5999984741211,4.76200008392334,38.18000030517578
2022-03-03,166.22999572753906,237.13999938964844,47.93000030517578,165.35000610351562,107.66999816894531,4.7220001220703125,36.58000183105469
